asset,correlation,cointegration_p_value,spread_volatility
CHRUSDT,0.3731660228897698,0.001365754313718759,0.022989675461640907
BANDUSDT,0.4017540057308942,0.01592705385619842,0.04362063187829758
XRPUSDT,0.0010153488045318339,0.026541505915576614,0.025684841686155573
ETCUSDT,0.4350890609503396,0.03169609432518757,0.4981759891954557
