asset,correlation,cointegration_p_value,spread_volatility
DASHUSDT,-1.7640326099509396e-05,0.0025440224938397815,0.006518040335162438
PERPUSDT,0.0014187207760663894,0.004855875905380514,0.009158707065251848
ACHUSDT,0.00024977979010358244,0.004969569179422173,0.00544228570432646
CHRUSDT,-0.0009160299781162217,0.009569046064254499,0.019621923481376667
TRXUSDT,0.528880455096401,0.012397641665322121,0.009012904625127634
CELOUSDT,0.0005852390702498528,0.014405335698547355,0.03610568318042813
APTUSDT,-6.427603074875172e-05,0.02063370858409573,0.00994883297063078
EOSUSDT,0.0012506524731326807,0.0333905323418856,0.4936395801196355
XRPUSDT,0.4588781431334375,0.037235400603612634,0.011635008760328207
